drug,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,main_cluster,max_membership,membership_entropy,cluster_num,cluster,membership_score,display_label,target,pathway,research_area
6-Mercaptopurine,0.46542023946242495,0.03731764083546903,0.13673757867250189,0.040778225033470374,0.03691767429627685,0.03563552637432639,0.06476929060474819,0.03937122081514339,0.07488535409213871,0.06816724981350022,cluster_1,0.46542023946242495,1.8036227220529542,1,Cluster_1,0.46542023946242495,6-Mercaptopurine,Autophagy; Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Autophagy; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease,Cancer
ATP (dimagnesium),0.0016743008966352887,0.1380886067346985,0.0011947611482094082,0.003291578330111241,0.4296270695152207,0.02612582104818618,0.0005767759387103278,0.3672701808248739,0.000875305679009951,0.03127559988434457,cluster_5,0.4296270695152207,1.2558555158783056,5,Cluster_5,0.4296270695152207,ATP (dimagnesium),Endogenous Metabolite,Metabolic Enzyme/Protease,Inflammation/Immunology
Abemaciclib (methanesulfonate),0.7154795732920808,0.023160997577744927,0.059601506604375465,0.022287423729039982,0.025179265734582637,0.02118969847100179,0.03007603187419528,0.026006850676263987,0.03033901549558886,0.0466796365451264,cluster_1,0.7154795732920808,1.2033699405476848,1,Cluster_1,0.7154795732920808,Abemaciclib (methanesulfonate),CDK,Cell Cycle/DNA Damage,Cancer
Acetophenazine (dimaleate),0.025692294754185382,0.04215842490683719,0.039043234157834436,0.5260333593415938,0.03380006110723385,0.054138086540237204,0.04637314651026888,0.0407806526770692,0.12311884295107069,0.06886189705366937,cluster_4,0.5260333593415938,1.6794987073127179,4,Cluster_4,0.5260333593415938,Acetophenazine (dimaleate),Dopamine Receptor,GPCR/G Protein; Neuronal Signaling,Neurological Disease
Adiphenine (hydrochloride),0.0005216475676427353,0.016987451976245942,0.0003589651494703007,0.0009734558226874333,0.8963106434414858,0.005451093667272029,0.00017597658249453272,0.07001720036345119,0.00026272899364391633,0.008940836435606012,cluster_5,0.8963106434414858,0.4413369913471916,5,Cluster_5,0.8963106434414858,Adiphenine (hydrochloride),nAChR,Membrane Transporter/Ion Channel; Neuronal Signaling,Neurological Disease
Alcaftadine,0.0018239081824744838,0.4875700233324694,0.0013706104020275213,0.004315556679816712,0.10728179771457406,0.06153260135356939,0.0006827570651886352,0.29976903235264235,0.001060404575091768,0.034593308342145655,cluster_2,0.4875700233324694,1.2950799127202475,2,Cluster_2,0.4875700233324694,Alcaftadine,Histamine Receptor,GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling,Inflammation/Immunology; Endocrinology
Almotriptan (malate),5.079647381418169e-05,0.0022276028004391837,3.487055614792362e-05,9.428545231197586e-05,0.984473247481988,0.000600347575868063,1.706085259216955e-05,0.011565550883652364,2.5524175183404206e-05,0.0009107137480026534,cluster_5,0.984473247481988,0.09360924819774404,5,Cluster_5,0.984473247481988,Almotriptan (malate),5-HT Receptor,GPCR/G Protein; Neuronal Signaling,Neurological Disease
Ambroxol,0.008897173397944902,0.2359450140997304,0.005884217469208069,0.01633341039156518,0.19146348996091075,0.10192016264148338,0.003079137207534366,0.31170796921908317,0.004715238310999146,0.1200541873015408,cluster_8,0.31170796921908317,1.6903316375225934,8,Cluster_8,0.31170796921908317,Ambroxol,Autophagy; Glucosidase,Autophagy; Metabolic Enzyme/Protease,Metabolic Disease; Neurological Disease
Amcinonide,0.00017471024639622383,0.00824370437230972,0.00012010828456088825,0.0003285947296258936,0.945504692930828,0.002204944487215159,5.8644783286672404e-05,0.04008395628167214,8.819846443214888e-05,0.0031924454196730298,cluster_5,0.945504692930828,0.2599406900954615,5,Cluster_5,0.945504692930828,Amcinonide,Glucocorticoid Receptor,Immunology/Inflammation; Vitamin D Related/Nuclear Receptor,Inflammation/Immunology; Endocrinology
Amiodarone (hydrochloride),0.014172068963482215,0.005751182719889582,0.03065434131738597,0.024885759582878107,0.004982795849665558,0.006320824360432609,0.1717481957099222,0.0057195760457918144,0.7254257225016546,0.010339532948897254,cluster_9,0.7254257225016546,0.9593973722241558,9,Cluster_9,0.7254257225016546,Amiodarone (hydrochloride),Autophagy; Potassium Channel,Autophagy; Membrane Transporter/Ion Channel,Cardiovascular Disease; Cancer
