protein,drug,t_stat,p_value,mean_drug,mean_DMSO,log2FC,p_value_adj,query,gene_symbol
A0A096LP01,Ambroxol,1.9689242819148527,0.1027963211183317,20.04664366982733,19.65594875437159,0.3906949154557395,0.2252779169651319,A0A096LP01,SMIM26
A0A1W2PQ72,Ambroxol,-0.3433537944329677,0.7428077393614838,13.69076026310984,13.840781346452507,-0.1500210833426685,0.8445672285230799,A0A1W2PQ72,MSANTD7
A0A6Q8PH20,Ambroxol,-0.5510027237700057,0.5894401176084563,24.16116902920573,24.179238856849896,-0.0180698276441617,0.7340009079073758,A0A6Q8PH20,CAST
A0A804HLA8,Ambroxol,-0.2591840275459702,0.7989072804594209,16.464157286433107,16.55503378201771,-0.0908764955846024,0.8816646505639912,A0A804HLA8,GNG5B
A0AAG2UWQ9,Ambroxol,-2.460907519520777,0.0210105169111365,22.09720771791717,22.167909516534728,-0.0707017986175557,0.0701241788229964,A0AAG2UWQ9,NKRF
A0AAG2UXZ5,Ambroxol,0.7273917907474358,0.4936346044277857,22.356483004377896,22.312883390296303,0.043599614081593,0.6565157670597718,A0AAG2UXZ5,COL18A1
A0AV96,Ambroxol,1.3294613644657975,0.1951753181206887,14.132024905686736,13.885400917747956,0.246623987938781,0.3538931182690104,A0AV96,RBM47
A0AVF1,Ambroxol,0.1564216736385583,0.8794181552323832,21.7509489950055,21.67850882778713,0.0724401672183674,0.9315664203284092,A0AVF1,IFT56
A0AVK6,Ambroxol,-2.0711859340932666,0.0834265550780888,12.651481123718526,13.803073942823271,-1.1515928191047458,0.1938979667176238,A0AVK6,E2F8
A0AVT1,Ambroxol,3.892700027149735,0.0028251981952223,23.76462421427168,23.654256366070385,0.1103678482012959,0.0154084523957429,A0AVT1,UBA6
A0FGR8,Ambroxol,-1.5829905018034172,0.1274621480821359,23.302477449835063,23.33281714477144,-0.030339694936373,0.2626871899419352,A0FGR8,ESYT2
A0JLT2,Ambroxol,-3.801052984866724,0.0007798601913844,18.85736937735164,19.10905298972748,-0.2516836123758317,0.0057875060434878,A0JLT2,MED19
A0JNW5,Ambroxol,0.0807289586884451,0.937935969420918,20.31684132532584,20.311494341510663,0.0053469838151727,0.965746098473745,A0JNW5,BLTP3B
A0MZ66,Ambroxol,1.1684432193234775,0.2789713204427846,24.51809662812884,24.454755707357133,0.0633409207717079,0.4516250831186144,A0MZ66,SHTN1
A0PJW6,Ambroxol,1.5775383149469888,0.1358444361518957,21.46598746342181,21.3565320654556,0.1094553979662151,0.274754779589598,A0PJW6,TMEM223
A0PJZ3,Ambroxol,0.0157724865233325,0.9878504465507684,13.700586268165988,13.69039675326449,0.0101895149014961,0.9933998618765704,A0PJZ3,GXYLT2
A0PK00,Ambroxol,-1.2532679460620604,0.2491225114615066,17.50670349156913,18.22077853760803,-0.7140750460389,0.4183853414889518,A0PK00,TMEM120B
A1L020,Ambroxol,0.0501711674323626,0.96035788739323,17.44210210194743,17.43071094060614,0.0113911613412902,0.9783092146694048,A1L020,MEX3A
A1L0T0,Ambroxol,2.543445105564089,0.0387479013871156,23.68557225986375,23.627179335355034,0.0583929245087162,0.1106103876163753,A1L0T0,HACL2
A1L170,Ambroxol,1.021267582509335,0.3188098264081066,19.063985876305527,18.66862259902545,0.3953632772800759,0.4938933442738657,A1L170,C1orf226
A1L390,Ambroxol,1.0265187201808357,0.3372909958429305,14.287019943506795,13.596317224719051,0.6907027187877439,0.5128655075357077,A1L390,PLEKHG3
A1X283,Ambroxol,-2.0723997089385726,0.05641460395588,23.73107444433841,23.8571473521836,-0.1260729078451774,0.1458131700023178,A1X283,SH3PXD2B
A2RRP1,Ambroxol,0.7418810559589291,0.4649297692661264,23.2539482855478,23.2420428268008,0.0119054587469982,0.6319637564182111,A2RRP1,NBAS
A2RTX5,Ambroxol,0.1329437026915142,0.8983777474117861,19.81954279419747,19.8047105623379,0.0148322318595717,0.942818526212285,A2RTX5,TARS3
A2RU67,Ambroxol,3.606277627875923,0.0044212529685752,16.10421772031165,15.533161284308846,0.5710564360028023,0.0216598162653345,A2RU67,FAM234B
A2RUC4,Ambroxol,0.2586335144778064,0.800121498838307,19.324608587512586,19.306215400987448,0.0183931865251345,0.8824469798923281,A2RUC4,TYW5
A2VDF0,Ambroxol,-0.9565447554598232,0.361908149173974,13.401812934804424,13.793718947128449,-0.391906012324025,0.5371955289651588,A2VDF0,FUOM
A3KMH1,Ambroxol,1.0631108586616356,0.3271529133586264,23.03035071779605,23.000582753330683,0.0297679644653676,0.5024926741178116,A3KMH1,VWA8
A3KN83,Ambroxol,-0.6097080994009121,0.5512023928770742,23.14720264089722,23.16581577074801,-0.0186131298507952,0.7038869246553764,A3KN83,SBNO1
A4D1E9,Ambroxol,-1.7307899489019474,0.1191971413136704,21.115775940821205,21.21380720735948,-0.0980312665382676,0.2504044072117675,A4D1E9,GTPBP10
A4D1P6,Ambroxol,-0.0340851220865089,0.9733821027462932,21.835919152501628,21.837812230925486,-0.0018930784238584,0.9854718920137956,A4D1P6,WDR91
A5D8V6,Ambroxol,-1.881871915210633,0.0794576643115778,19.831021836165323,19.913818292671607,-0.0827964565062835,0.1871691937990441,A5D8V6,VPS37C
A5PL33,Ambroxol,1.6485776955083071,0.1515011312881306,13.32760819912299,10.938974250026666,2.388633949096324,0.2967103289530925,A5PL33,KRABD3
A5PLL7,Ambroxol,2.5611079952143325,0.0263561613126633,20.50696155721327,20.083266232654,0.4236953245592723,0.0830939962959141,A5PLL7,PEDS1
A5PLN9,Ambroxol,0.5908184883520966,0.5597285092804314,14.173836471812024,13.974175187006136,0.199661284805888,0.710721229968162,A5PLN9,TRAPPC13
A5YKK6,Ambroxol,-0.5118367459593233,0.6146162475033066,24.07409145895389,24.08083058715624,-0.0067391282023478,0.7532182636803959,A5YKK6,CNOT1
A6H8Y1,Ambroxol,0.2119139794136405,0.8393645613090428,12.28555302675061,12.147450823273736,0.1381022034768744,0.9070433774007084,A6H8Y1,BDP1
A6NCE7,Ambroxol,0.140987415114548,0.8924306640123639,23.53349277418588,23.52140766577272,0.0120851084131565,0.9393507175071784,A6NCE7,MAP1LC3B2
A6NCS6,Ambroxol,1.869362926993472,0.0986297908504454,22.65553396431065,22.543829361696368,0.1117046026142816,0.2187231380650476,A6NCS6,C2orf72
A6ND36,Ambroxol,-1.7986924520454637,0.0884115549950639,18.81247629514964,18.900904750285264,-0.0884284551356273,0.202186923912457,A6ND36,SACK1G
A6NDB9,Ambroxol,1.951930711315363,0.089454924560874,15.448300778370166,15.26820317352374,0.1800976048464253,0.2038804235481374,A6NDB9,PALM3
A6NDG6,Ambroxol,2.579676835864971,0.0257023398849753,23.65209573010588,23.53616218975388,0.1159335403520067,0.0815422585607562,A6NDG6,PGP
A6NDU8,Ambroxol,0.7002216037563648,0.5080231974251901,18.493565986521656,18.363110030643007,0.1304559558786486,0.668547407897801,A6NDU8,RIMOC1
A6NED2,Ambroxol,1.555614937402394,0.1594249775593316,21.185170694821142,21.09383476546554,0.0913359293556013,0.3074806612458531,A6NED2,RCCD1
A6NEL2,Ambroxol,-0.5061178731034078,0.6266764229848636,13.021762082172351,13.27888604621401,-0.2571239640416589,0.7623184922865485,A6NEL2,SOWAHB
A6NFI3,Ambroxol,0.0855145177249635,0.9348392641984832,17.38623853504743,17.36952792654935,0.0167106084980801,0.963988799183538,A6NFI3,ZNF316
A6NH11,Ambroxol,1.2691534363556716,0.2260616881787853,16.671237560465663,16.26888404838913,0.4023535120765338,0.3915029295352255,A6NH11,GLTPD2
A6NHL2,Ambroxol,2.757059031058672,0.0241992694297317,29.5101652297908,29.3778755605262,0.1322896692645976,0.0779461736867862,A6NHL2,TUBAL3
A6NHQ4,Ambroxol,-0.0648698558921574,0.9495945673066968,16.36505266974544,16.372061483210302,-0.0070088134648607,0.9723951720418844,A6NHQ4,EPOP
A6NHR9,Ambroxol,-1.7169764182401124,0.0989141551578089,23.46052813007516,23.5105758925162,-0.0500477624410358,0.2191750995974812,A6NHR9,SMCHD1
A6NHX0,Ambroxol,4.123532054599913,0.0013507453806294,21.97027190522512,21.68656622056355,0.2837056846615731,0.0087890953506558,A6NHX0,CASTOR2
