protein,gene_symbol,display_label,cluster,mean_value,sd_value,max_abs_value,non_na_fraction
P08237,PFKM,PFKM,Cluster_1,-0.39807440147626144,0.9190776950546478,2.820804508685253,1.0
P07951,TPM2,TPM2,Cluster_1,0.761503332327821,0.9554956019816723,2.7641864243061463,1.0
Q02388,COL7A1,COL7A1,Cluster_1,0.2874135853549273,0.8585451304374855,2.6296118520961613,1.0
Q96A29,SLC35C1,SLC35C1,Cluster_1,-0.1343803377903328,0.6118987674764835,1.611051558172969,1.0
A9QM74,KPNA7,KPNA7,Cluster_1,-0.19359742827127022,0.434515238510411,1.1515422047784265,1.0
Q63HK3,ZKSCAN2,ZKSCAN2,Cluster_2,-0.3536058051821715,0.5809367768259329,1.8943001877883368,1.0
Q9H867,VCPKMT,VCPKMT,Cluster_2,-0.17269365280056118,0.5448766118405818,1.2258764618995244,1.0
Q8N9R8,SCAI,SCAI,Cluster_3,-0.16838462781148114,0.8760343000952115,2.522908401917949,1.0
Q969Q5,RAB24,RAB24,Cluster_3,-0.11071249114487085,0.3345289180558208,2.255848271876644,1.0
Q8N2H4,SYS1,SYS1,Cluster_3,-0.12803183592351647,0.3533293138612961,1.298781823666424,1.0
O15068,MCF2L,MCF2L,Cluster_4,0.5569389628026904,1.5590303415216757,7.630439964874055,1.0
Q9C073,FAM117A,FAM117A,Cluster_4,-0.3358597826153744,0.9403585559764781,6.584321528846479,1.0
O75363,BCAS1,BCAS1,Cluster_4,0.3595317472561095,0.8975936314014452,5.976729238452679,1.0
Q9H2W2,MIXL1,MIXL1,Cluster_4,1.3860540942882995,1.2239521471065717,5.675555066218676,1.0
O94782,USP1,USP1,Cluster_4,-0.45773206177797426,0.9471547843326901,5.605395069634266,1.0
O60941,DTNB,DTNB,Cluster_4,-0.32097424118509504,1.0142665800335222,5.399968537007421,1.0
Q01664,TFAP4,TFAP4,Cluster_4,-0.3415971848252452,0.9225189547924895,5.303822551243769,1.0
P13640,MT1G,MT1G,Cluster_4,-0.4751922436967827,0.8290369240398835,5.207439523149702,1.0
O75486,SUPT3H,SUPT3H,Cluster_4,-0.42627829323343464,0.759092546508307,5.121017034807791,1.0
P80297,MT1X,MT1X,Cluster_4,-0.3469367440170674,0.8288297196075606,5.082432397183068,1.0
Q6UVJ0,SASS6,SASS6,Cluster_4,-0.48645131303989747,1.1011227711877687,4.9845126774654265,1.0
P78317,RNF4,RNF4,Cluster_4,-0.6002370007440226,0.9096560132510335,4.961361541395675,1.0
Q8N8V4,ANKS4B,ANKS4B,Cluster_4,-0.9090793328514511,1.0476641440975274,4.940716392972012,1.0
Q8N9V3,WDSUB1,WDSUB1,Cluster_4,0.02598336557812375,0.7030099282120493,4.897854588951329,1.0
Q5JTC6,AMER1,AMER1,Cluster_4,-0.6642435395089351,1.2408983185640041,4.889147915235247,1.0
P04732,MT1E,MT1E,Cluster_4,-0.1637717538000154,1.1634996051819115,4.814570337043598,1.0
O95229,ZWINT,ZWINT,Cluster_4,-0.3155123641266052,0.9022683905161729,4.776577605862759,1.0
Q9BWT1,CDCA7,CDCA7,Cluster_4,-0.7442826244699461,1.0719636368356968,4.700083739562002,1.0
Q05513,PRKCZ,PRKCZ,Cluster_4,-0.10146240350302793,0.6833940975994276,4.699867557850137,1.0
Q9ULP0,NDRG4,NDRG4,Cluster_4,0.4076739494540544,1.0795012206457193,4.685150072986925,1.0
P30305,CDC25B,CDC25B,Cluster_4,-0.7917660408367664,1.2825560159310874,4.664718976181128,1.0
Q8WUF8,ARB2A,ARB2A,Cluster_4,0.047130581238461484,0.6112237595983415,4.646602824381128,1.0
Q6PGN9,PSRC1,PSRC1,Cluster_4,-0.6756905448179972,0.8015553458103793,4.615332805919341,1.0
O00512,BCL9,BCL9,Cluster_4,0.034648875604813216,0.5764948222824932,4.59481901353433,1.0
O15217,GSTA4,GSTA4,Cluster_4,-0.31119537206961256,0.9331228812031682,4.581610536408153,1.0
Q9H400,LIME1,LIME1,Cluster_4,-0.587475019043709,1.0299915703970683,4.571644205321535,1.0
Q9Y2Y9,KLF13,KLF13,Cluster_4,-0.5813990340808797,0.7754659797749457,4.537852133488668,1.0
